;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
1026;61.990;Ford;Focus;Focus 2.0 Se Sedan 16v Flex 4p Automatico 2016;91.000;2016;SP;Campinas;Vazio
1027;83.990;Hyundai;Creta;1.6 Attitude Flex 5p;35.623;2018;SP;Vila Ema - São Paulo Zona Leste;Vazio
1028;56.750;Hyundai;Hb20;Hb20 1.0 Unique 12v Flex 4p Manual;104.868;2019;SP;Sorocaba;Vazio
1029;66.900;Honda;Fit;1.5 Ex Flex Aut. 5p;133.000;2015;SP;Vila Prudente - São Paulo Zona Leste;Vazio
1030;56.500;Fiat;Mobi;Mobi Like 1.0 Fire Flex 5p.;27.423;2021;SP;Vila Molon - Americana;Vazio
1031;72.000;Jeep;Renegade;Renegade 1.8 16v Flex Sport 4p Automático;107.000;2016;SP;São Paulo Zona Oeste;Vazio
1032;75.900;Chevrolet;Onix;1.4 Ltz 5p;7.000;2019;SP;Cidade Dutra - São Paulo Zona Sul;Vazio
1033;89.900;Renault;Captur;2.0 16v Hi-flex Intense Automático;50.125;2020;SP;Campinas;Vazio
1034;77.900;Ford;Ka;Ka 1.5 Sedan Titanium 12v Flex 4p Aut.;23.000;2021;SP;Freguesia do Ó - São Paulo Zona Norte;Vazio
1035;55.900;Volkswagen;Fox;1.6 Msi Trendline 8v;67.000;2018;SP;Ipiranga - São Paulo Zona Sul;Vazio
1036;68.980;Fiat;Fiorino;Fiorino Furgão Work. Hard 1.4 Flex 8v 2p;70.936;2018;SP;São Paulo Zona Leste;Vazio
1037;66.750;Fiat;Doblo;Doblo 1.8 Mpi Adventure 16v Flex 4p Manual;140.720;2016;SP;Sorocaba;Vazio
1038;68.899;Volkswagen;Polo;1.6 16v Msi Aut. 5p;59.321;2020;SP;Aricanduva - São Paulo Zona Leste;Vazio
1039;64.990;Hyundai;Hb20;1.0 12v Sense;1.856;2020;SP;Morumbi - São Paulo Zona Sul;Vazio
1040;85.900;Honda;Fit;Honda Fit 1.5 16v 4p Exl Flex Automático;55.000;2017;SP;Vila Independência - Piracicaba;Vazio
1041;64.000;Hyundai;Hb20;1.6 Comfort Plus 16v;59.000;2019;SP;Jundiaí;Vazio
1042;89.900;Nissan;Kicks;Sv Cvt 1.6 16v Flex 5p Aut;75.600;2018;SP;Vila Campesina - Osasco;Vazio
1043;68.890;Chevrolet;Cobalt;1.8 Ltz Aut. 4p;56.000;2018;SP;Vila Carrão - São Paulo Zona Leste;Vazio
1044;71.900;Chevrolet;Onix;1.4 Lt Aut. 5p;81.000;2018;SP;Vila Carrão - São Paulo Zona Leste;Vazio
1045;78.900;Kia;Cerato;1.6 Sx Flex Aut. 4p;85.000;2018;SP;Vila Carrão - São Paulo Zona Leste;Vazio
1046;59.900;Hyundai;Hb20;1.0 Unique Flex 5p;42.000;2019;SP;Vila Carrão - São Paulo Zona Leste;Vazio
1047;82.880;Toyota;Yaris;1.3 Xl Plus Tech 16v Cvt 5p;44.000;2019;SP;Vila Carrão - São Paulo Zona Leste;Vazio
1048;85.890;Renault;Captur;1.616v Intense Sce X-tronic 5p;66.000;2019;SP;Vila Carrão - São Paulo Zona Leste;Vazio
1049;59.899;Fiat;Grand;Siena 1.0 Attractive Flex 4p;58.687;2021;SP;Aricanduva - São Paulo Zona Leste;Vazio
1050;61.480;Fiat;Argo;1.0 Drive Flex 5p;55.000;2020;SP;Vila Carrão - São Paulo Zona Leste;Vazio
1051;57.900;Toyota;Etios;Xs 1.5 Flex 16v 5p Mec.;85.818;2018;SP;Osasco;Vazio
1052;71.900;Chevrolet;Onix;1.4 Lt Aut. 5p;64.000;2019;SP;Vila Carrão - São Paulo Zona Leste;Vazio
1053;57.900;Hyundai;Hb20;Unique 1.0 Flex 12v Mec.;32.000;2019;SP;Km 18 - Osasco;Vazio
1054;69.899;Fiat;Fiorino;1.4 Furgão Hard Working Flex - Completo;149.900;2018;SP;Butantã - São Paulo Zona Oeste;Vazio
1055;89.980;Nissan;Kicks;1.6 16v Sl Aut. 5p;76.500;2019;SP;Guarulhos;Vazio
1056;69.900;Volkswagen;Up!;1.0 Tsi Pepper 12v;64.000;2018;SP;Jundiaí;Vazio
1057;58.990;Volkswagen;Saveiro;Saveiro Robust 1.6 Cs 2019;72.000;2019;SP;Ipiranga - São Paulo Zona Sul;Vazio
1058;86.900;Suzuki;Jimny;1.3 4sport 4x4 16v;71.000;2018;SP;Vila Leopoldina - São Paulo Zona Oeste;Vazio
1059;65.900;Chevrolet;Onix;Onix 1.0 Mpfi Lt 8v Flex 4p Manual;11.019;2019;SP;Pedreira - São Paulo Zona Sul;Vazio
1060;61.900;Hyundai;Hb20;Hb20 1.6 Comfort Plus (aut);65.000;2017;SP;Jardim D'abril - Osasco;Vazio
1061;67.990;Hyundai;Tucson;2.0 Mpfi Gls 16v 143cv 2wd;105.450;2016;SP;São Miguel Paulista - São Paulo Zona Leste;Vazio
1062;74.990;Honda;City;1.5 Lx 16v;89.670;2016;SP;São Miguel Paulista - São Paulo Zona Leste;Vazio
1063;58.900;Hyundai;Hb20;Hb20 1.6 Comfort Plus (aut);67.200;2015;SP;Freguesia do Ó - São Paulo Zona Norte;Vazio
1064;75.990;Renault;Duster;2.0 16v Dynamique;73.077;2018;SP;São Miguel Paulista - São Paulo Zona Leste;Vazio
1065;73.990;Honda;Fit;1.5 Lx 16v;55.265;2017;SP;Centro - São Bernardo do Campo;Vazio
1066;71.890;Chevrolet;Spin;Spin Ltz 1.8 8v Econo.flex 5p Aut;89.000;2017;SP;Alto da Mooca - São Paulo Zona Leste;Vazio
1067;70.900;Honda;Fit;Fit 1.5 Dx 16v Flex 4p Automático;110.000;2017;SP;Sorocaba;Vazio
1068;83.990;Ford;Fusion;2.0 Titanium Fwd 16v;999;2015;SP;Ponte Preta - Campinas;Vazio
1069;85.990;Volkswagen;Saveiro;1.6 Cross Cd 16v;82.713;2018;SP;Centro - Osasco;Vazio
1070;64.990;Peugeot;2008;1.6 16v Griffe;130.131;2016;SP;São Miguel Paulista - São Paulo Zona Leste;Vazio
1071;58.900;Hyundai;Hb20s;Hb20s 1.0 Comfort Plus;81.157;2018;SP;Centro - Jandira;Vazio
1072;81.900;Honda;Civic;Civic Lxr 2.0 I-vtec (aut) (flex);73.000;2016;SP;Km 18 - Osasco;Vazio
1073;89.990;Honda;Hr-v;1.8 16v Ex;103.950;2016;SP;São Miguel Paulista - São Paulo Zona Leste;Vazio
1074;70.990;Hyundai;Hb20s;1.6 Comfort Plus 16v;78.410;2018;SP;São Miguel Paulista - São Paulo Zona Leste;Vazio
1075;65.490;Hyundai;Hb20;1.6 Comfort Plus 16v;41.600;2019;SP;São Miguel Paulista - São Paulo Zona Leste;Vazio
1076;58.990;Hyundai;Hb20;1.6 Comfort Plus 16v;83.574;2017;SP;São Miguel Paulista - São Paulo Zona Leste;Vazio
1077;65.900;Ford;Ecosport;2.0 16v Titanium Flex Powershift 5p;66.000;2016;SP;Vila Carrão - São Paulo Zona Leste;Vazio
1078;88.990;Chevrolet;Cruze;1.4 Turbo Lt 16v;121.484;2018;SP;São Miguel Paulista - São Paulo Zona Leste;Vazio
1079;72.990;Chevrolet;Cruze;1.8 Lt Sport6 16v;81.790;2015;SP;São Miguel Paulista - São Paulo Zona Leste;Vazio
